h3_d,traffic_ct,geometry
872b88164ffffff,1,"POLYGON ((-74.3637669680667 43.68195403413436, -74.37939924596118 43.675125259667816, -74.37877467379468 43.662378554788226, -74.36252673500509 43.65646046021865, -74.34689849971024 43.66328565054168, -74.34751416035105 43.67603251852308, -74.3637669680667 43.68195403413436))"
872b8eb18ffffff,2,"POLYGON ((-74.89273789792182 44.51222812442517, -74.90858254477968 44.505270796649455, -74.9077956269325 44.492416243073684, -74.89117329713979 44.48651876659857, -74.87533269010154 44.49347243194065, -74.87611037267702 44.50632723511075, -74.89273789792182 44.51222812442517))"
872a16231ffffff,7,"POLYGON ((-74.43959735591741 41.41040158546725, -74.45446890996391 41.403724534983965, -74.45385431903136 41.391301233570644, -74.43837624934902 41.38555480658381, -74.42350833991438 41.39222837611262, -74.4241148553202 41.40465185260006, -74.43959735591741 41.41040158546725))"
872b8d55cffffff,6,"POLYGON ((-73.4883311339223 43.76094552169957, -73.50411049786656 43.75423364258051, -73.50373024577654 43.74147661713444, -73.48757957738063 43.73543144796676, -73.47180451181188 43.74213980742603, -73.47217581615108 43.75489685465407, -73.4883311339223 43.76094552169957))"
872aa6c24ffffff,43,"POLYGON ((-78.51751096922908 42.95207582334687, -78.5322698354985 42.94474920737304, -78.5305140619277 42.932140892919335, -78.51400789908355 42.926858374606596, -78.4992517846376 42.93418118291463, -78.50099908033694 42.946790316215484, -78.51751096922908 42.95207582334687))"
872b99701ffffff,20,"POLYGON ((-78.07400980179573 43.30513527062053, -78.0889552206073 43.297836838965495, -78.08730818902788 43.28517275160429, -78.07072437413724 43.27980634145515, -78.05578187988799 43.287100969792725, -78.05742027513871 43.29976581059229, -78.07400980179573 43.30513527062053))"
872aa42c5ffffff,7,"POLYGON ((-76.81835311447715 42.06411830043171, -76.8330953494 42.05708163658148, -76.83183000919315 42.044575751373515, -76.81583067732655 42.03910598319622, -76.80109155843984 42.046138977735836, -76.80234865479827 42.05864540877898, -76.81835311447715 42.06411830043171))"
872a10c70ffffff,156,"POLYGON ((-73.80852024013315 41.18574636983173, -73.82340288058165 41.17916894198252, -73.82295858021126 41.16677949640716, -73.80763964218774 41.16096739958786, -73.79276076799606 41.1675414036062, -73.79319706543164 41.17993092729741, -73.80852024013315 41.18574636983173))"
872a1699dffffff,3,"POLYGON ((-74.28998902640737 42.12711999508771, -74.30511159725832 42.120409648187525, -74.30452788177409 42.10788036893388, -74.28882992495804 42.10206128386057, -74.2737111515823 42.108768125842175, -74.2742865373285 42.12129755681071, -74.28998902640737 42.12711999508771))"
872b8e0a2ffffff,1,"POLYGON ((-75.71038939783925 44.56005863970046, -75.72612917355686 44.55298426009105, -75.7251082846605 44.5401278221326, -75.70835685416596 44.534345379404066, -75.69262088583648 44.54141603633436, -75.69363254011265 44.55427285759559, -75.71038939783925 44.56005863970046))"
872b8b49affffff,2,"POLYGON ((-76.24237795020117 42.71630394538446, -76.25741622164358 42.709290750025225, -76.25629034274236 42.69668619559252, -76.24013469322676 42.691094375517544, -76.22509978713333 42.698103903585746, -76.22621716468248 42.71070891800909, -76.24237795020117 42.71630394538446))"
872aa4d42ffffff,8,"POLYGON ((-76.86592114671615 42.990660525071235, -76.88095472137815 42.983544283956554, -76.87965059750772 42.970907403056636, -76.86332147753059 42.96538620217989, -76.84829113295912 42.972498723920026, -76.84958667764538 42.985136164898954, -76.86592114671615 42.990660525071235))"
872a10c66ffffff,303,"POLYGON ((-73.74810014264492 41.18725460748594, -73.76299101782809 41.18068500940459, -73.76256272369287 41.16829541223994, -73.74725155789599 41.16247534334839, -73.73236446407651 41.169041522049326, -73.73278475455912 41.18143118804485, -73.74810014264492 41.18725460748594))"
872b88559ffffff,2,"POLYGON ((-75.05043636432485 43.67951364059661, -75.06597032075365 43.67259042533854, -75.06515367111743 43.659845904488236, -75.04881196421918 43.65402432412814, -75.03328185767866 43.660943905035815, -75.03408960778239 43.67368869960246, -75.05043636432485 43.67951364059661))"
872b8bb0bffffff,39,"POLYGON ((-74.71784160377021 42.60487534278637, -74.73306245540891 42.5980731380419, -74.73235569326673 42.58547598107189, -74.71643657732997 42.57968080871082, -74.70121948862094 42.58647945446032, -74.70191775262838 42.59907683054745, -74.71784160377021 42.60487534278637))"
872aa6c32ffffff,1,"POLYGON ((-78.64258617995705 42.94384218700792, -78.65732187020427 42.936500347958614, -78.65553221252924 42.92389535735034, -78.63901533060351 42.91863136658304, -78.62428235494386 42.92596939224325, -78.62606354572894 42.93857522107672, -78.64258617995705 42.94384218700792))"
872b8ab94ffffff,3,"POLYGON ((-75.84408783025258 43.61107895926542, -75.85948215853593 43.60405249138225, -75.85844515571056 43.59132159641886, -75.84202267673378 43.58561676723732, -75.82663196183287 43.59263954938852, -75.82766011203451 43.60537084540981, -75.84408783025258 43.61107895926542))"
872aa6c1effffff,2,"POLYGON ((-78.66309559321556 42.86615584663083, -78.67780305488088 42.858817889375786, -78.67601082505536 42.84622404182662, -78.65951956970669 42.840967310118025, -78.64481480754836 42.8483014570596, -78.64659860033977 42.86089614504287, -78.66309559321556 42.86615584663083))"
872aa4d6effffff,31,"POLYGON ((-76.77179479171869 42.99539855254948, -76.78684435211403 42.988294297744645, -76.78556597154056 42.97565575143135, -76.76924661485543 42.97012091365676, -76.75420031185078 42.977221454492295, -76.75547010752587 42.98986054605792, -76.77179479171869 42.99539855254948))"
872a10c4affffff,519,"POLYGON ((-73.8045648857293 41.074300267727246, -73.81941263664527 41.067731665660396, -73.81897044832941 41.055359164484464, -73.80368847389097 41.04955518667881, -73.788844472309 41.05612037061178, -73.78927869569357 41.068492949510265, -73.8045648857293 41.074300267727246))"
872a16636ffffff,4,"POLYGON ((-75.011401935805 41.559733933801056, -75.02624367813003 41.5529707902436, -75.02547430694894 41.54052651382135, -75.00987131211978 41.53484511643298, -74.99503309174341 41.54160473155491, -74.99579434393439 41.55404927151601, -75.011401935805 41.559733933801056))"
872a10c5cffffff,3,"POLYGON ((-73.83604297320431 41.110666532125755, -73.85089821994526 41.104091087626166, -73.85044735209411 41.091713014240916, -73.83514921455252 41.085910301899304, -73.82029771524775 41.092482324154965, -73.82074060590581 41.104860480021095, -73.83604297320431 41.110666532125755))"
872b9972dffffff,11,"POLYGON ((-77.97937924419115 43.31088454553824, -77.99434187259557 43.30359791523972, -77.99272075765577 43.29093158240453, -77.97614565744945 43.28555114026849, -77.96118598200097 43.292833971964754, -77.96279845298874 43.305501043392894, -77.97937924419115 43.31088454553824))"
872a10395ffffff,36,"POLYGON ((-73.81878361703369 40.62928576252748, -73.8334894011024 40.62274892758457, -73.83304769698336 40.61044486512602, -73.81790802389264 40.60467755590536, -73.8032059152953 40.61121099338536, -73.80363980418136 40.62351513658801, -73.81878361703369 40.62928576252748))"
872b8e0d6ffffff,4,"POLYGON ((-75.71594639308029 44.42449373897258, -75.73163817763516 44.41742780426061, -75.73061878049946 44.40458881407575, -75.71391677752644 44.39881537385154, -75.69822877594297 44.405877592028205, -75.69923899386389 44.418716965892415, -75.71594639308029 44.42449373897258))"
872aa42b1ffffff,1,"POLYGON ((-76.97431191147294 42.22598454788276, -76.98908208674146 42.21891477290997, -76.98777014719658 42.20638717285858, -76.97169632688426 42.20092877551706, -76.95692924673679 42.2079948637207, -76.95823289116652 42.220523035047606, -76.97431191147294 42.22598454788276))"
872b89588ffffff,7,"POLYGON ((-74.49867222298664 42.89612939089791, -74.51402002062869 42.88933603256574, -74.51336903423558 42.87669736140992, -74.49737885929079 42.87085186296674, -74.4820349316213 42.87764166424927, -74.48267730866166 42.8902805199961, -74.49867222298664 42.89612939089791))"
872b99775ffffff,23,"POLYGON ((-77.95635391129288 43.25484296845806, -77.9713019718 43.247563795536415, -77.9696891921614 43.23490475450058, -77.95313697535495 43.229524151005975, -77.93819186729876 43.23679952943585, -77.93979602279043 43.24945930484709, -77.95635391129288 43.25484296845806))"
872aa6c50ffffff,7,"POLYGON ((-78.54067739154462 42.77893639115134, -78.55537706904262 42.7716212432646, -78.55362158745764 42.759037407316306, -78.53717484040267 42.75376789794817, -78.52247788744408 42.76107924609236, -78.52422495613209 42.77366390236724, -78.54067739154462 42.77893639115134))"
872b8959effffff,17,"POLYGON ((-74.59473046437813 42.93118494191737, -74.6100766553701 42.924376086444326, -74.60939872781023 42.91173270065471, -74.59338323017097 42.90589796944258, -74.57804088911443 42.91270325916656, -74.57871019548394 42.92534684482242, -74.59473046437813 42.93118494191737))"
872aa6c46ffffff,2,"POLYGON ((-78.47835864544828 42.78300576751194, -78.49306979031297 42.77569818295955, -78.49133113721169 42.76311271117284, -78.47488975664785 42.757834012262464, -78.46018135472373 42.76513779994273, -78.4619115895628 42.77772408242423, -78.47835864544828 42.78300576751194))"
872b99763ffffff,12,"POLYGON ((-77.92004405862401 43.21875668195249, -77.93498621126668 43.21148509611624, -77.93338470926697 43.19883044004796, -77.91684966645387 43.193446640529714, -77.90191047217584 43.200714435671365, -77.90350336154604 43.213369820021384, -77.92004405862401 43.21875668195249))"
872aa4d36ffffff,2,"POLYGON ((-76.99776598218479 43.19378048548067, -77.01284579152708 43.18663122808889, -77.01149947327279 43.173967787640976, -76.99508199465691 43.16845302111811, -76.98000540640042 43.17559854103859, -76.98134307501638 43.18826256393595, -76.99776598218479 43.19378048548067))"
872aa4d1affffff,1,"POLYGON ((-77.04856564320211 43.076591327049485, -77.06359913338798 43.06944447701655, -77.06224227204035 43.056797757914474, -77.0458605231722 43.05129729826401, -77.03083022319447 43.05844041376346, -77.03217848121635 43.07108772243399, -77.04856564320211 43.076591327049485))"
872aa5da9ffffff,23,"POLYGON ((-76.22662848457779 42.18699251551554, -76.24149789062356 42.18002244211703, -76.24038912958572 42.1674932444089, -76.22441927145859 42.1619336645061, -76.20955315884727 42.16890009825184, -76.21065361042459 42.181429750558564, -76.22662848457779 42.18699251551554))"
872b895a4ffffff,2,"POLYGON ((-74.44165920078673 43.01184090942159, -74.45705356044806 43.005047200812314, -74.45641664517969 42.992392289142785, -74.44039402350477 42.9865309094988, -74.42500356876789 42.99332105975372, -74.425631830526 43.005976146974504, -74.44165920078673 43.01184090942159))"
872b88a86ffffff,1,"POLYGON ((-74.33953734352139 43.510457186968665, -74.35511437165617 43.50364328162111, -74.35449891208263 43.490919709813724, -74.33831526922768 43.48500988308612, -74.32274226011639 43.491820214155226, -74.32334887458899 43.504543945181304, -74.33953734352139 43.510457186968665))"
872a10c28ffffff,49,"POLYGON ((-73.82562792027639 41.241144341023904, -73.84052599796122 41.23456054964517, -73.84007662500902 41.22216269500117, -73.82473719607933 41.2163485501156, -73.80984288936122 41.22292891370497, -73.81028424046377 41.23532684899034, -73.82562792027639 41.241144341023904))"
872a14782ffffff,5,"POLYGON ((-73.62686633895694 41.65653866088705, -73.64192334171176 41.64995081226748, -73.64152315031616 41.63749097776174, -73.62607412254197 41.63161894183118, -73.61102100831789 41.638203357749525, -73.61141303321946 41.65066324130808, -73.62686633895694 41.65653866088705))"
872aa6cdaffffff,2,"POLYGON ((-78.76610361860568 42.70678677177547, -78.78074338201895 42.69944920559228, -78.77892934440362 42.68687944395127, -78.76248391470138 42.681646393156676, -78.74784680258254 42.688980152445524, -78.74965246797383 42.70155076844976, -78.76610361860568 42.70678677177547))"
872b89502ffffff,15,"POLYGON ((-74.3289557268411 42.95809958945421, -74.34434760100095 42.951324969966244, -74.34374247841016 42.93867739667879, -74.32775411601388 42.932804284226066, -74.31236616801996 42.93957535626734, -74.31296265601927 42.95222308717695, -74.3289557268411 42.95809958945421))"
872b8e05cffffff,1,"POLYGON ((-75.43624997855656 44.37734141702692, -75.4519673686887 44.370317360642176, -75.45102844433022 44.357482713069906, -75.43438129737034 44.351671782846196, -75.41866776455377 44.35869214428248, -75.41959752093317 44.37152712981834, -75.43624997855656 44.37734141702692))"
872a16963ffffff,4,"POLYGON ((-73.88634658754206 42.062801820711364, -73.90150185230436 42.056150134396894, -73.9010280066048 42.043630196986676, -73.88540720561764 42.03776185625209, -73.8702558316951 42.044410070814926, -73.87072136776105 42.05693009686018, -73.88634658754206 42.062801820711364))"
872a10c98ffffff,53,"POLYGON ((-74.17262692122327 41.21321170320161, -74.1874710475529 41.2065844870556, -74.18692988533998 41.19419070810135, -74.17155260682325 41.18842401028572, -74.15671216104896 41.19504777441474, -74.1572453130459 41.20744168739884, -74.17262692122327 41.21321170320161))"
872b8ab46ffffff,2,"POLYGON ((-75.45098200285265 43.47354224092984, -75.46638802709477 43.46657884829397, -75.4654635545428 43.45386406099104, -75.44914186779458 43.44811232775909, -75.43373954645179 43.45507206792619, -75.43465520853312 43.4677871927519, -75.45098200285265 43.47354224092984))"
872b8ab6affffff,1,"POLYGON ((-75.38479844772684 43.437797430000295, -75.40020208792569 43.430845555908306, -75.39929674987663 43.41813526623367, -75.38299656957724 43.41237652279716, -75.36759664510353 43.41932475070749, -75.3684931847908 43.432035367194594, -75.38479844772684 43.437797430000295))"
872b8c116ffffff,2,"POLYGON ((-73.91013792084082 44.75260462768099, -73.92620816782271 44.74577099293204, -73.92569853824406 44.73288409343812, -73.90912800836114 44.72683073902642, -73.8930621311019 44.733660775223655, -73.89356241380919 44.74654776329175, -73.91013792084082 44.75260462768099))"
872a10cb4ffffff,545,"POLYGON ((-74.11687051137679 41.326550128061974, -74.1317579795933 41.3199216998469, -74.13123032263167 41.307510797624204, -74.11582324684348 41.3017281972821, -74.10093949098881 41.308353172017995, -74.10145909837674 41.32076419959415, -74.11687051137679 41.326550128061974))"
872b8b448ffffff,1,"POLYGON ((-75.79337650441293 42.584109462889195, -75.80843772594287 42.57716552447544, -75.80743758625879 42.5645762639215, -75.79138469145295 42.558930552121616, -75.77632693908907 42.565870858712884, -75.77731861191269 42.57846050791566, -75.79337650441293 42.584109462889195))"
872a16959ffffff,41,"POLYGON ((-73.9757345986642 41.98532847905102, -73.99085281485353 41.97867037673051, -73.99035565535497 41.966161699463015, -73.97474856095135 41.96031102080097, -73.95963419979013 41.96696564833035, -73.96012307783327 41.97947442831162, -73.9757345986642 41.98532847905102))"
872aa4d86ffffff,25,"POLYGON ((-77.19622711748288 43.12603331731435, -77.21125380717051 43.118863284633505, -77.20985479273483 43.10621150639896, -77.19343770301026 43.100729146545525, -77.17841416817593 43.10789543358144, -77.1798045675277 43.12054782510328, -77.19622711748288 43.12603331731435))"
872a10333ffffff,24,"POLYGON ((-73.59544596047647 40.65327798282115, -73.61018747592173 40.64676830405995, -73.60980409297245 40.634460879797246, -73.59468701821639 40.6286630865688, -73.57994923560244 40.63516938330854, -73.58032479480694 40.647476854336425, -73.59544596047647 40.65327798282115))"
872a147aeffffff,1,"POLYGON ((-73.53532259165041 41.658639648371974, -73.55039203134251 41.65206385772634, -73.55001634029708 41.6396038902638, -73.53457937678908 41.633719677604205, -73.51951384885228 41.64029204246643, -73.51988137256342 41.65275204478002, -73.53532259165041 41.658639648371974))"
872b8952effffff,5,"POLYGON ((-74.23478544001816 42.96075553726464, -74.25019109610403 42.95399356905957, -74.24961187927494 42.94134553788238, -74.23363564268509 42.935459331234114, -74.21823393853231 42.94221775890345, -74.21880451881374 42.954865932725355, -74.23478544001816 42.96075553726464))"
872aa6cf6ffffff,31,"POLYGON ((-78.72009346447231 42.82420653082384, -78.73477815975086 42.81686487388393, -78.73297202632516 42.80427788120857, -78.71648961471841 42.79903169574484, -78.70180759757437 42.80636954181552, -78.70360531300477 42.81895738324117, -78.72009346447231 42.82420653082384))"
872aa6caeffffff,8,"POLYGON ((-78.74382364152645 42.87982563045764, -78.75852217535892 42.872476303235224, -78.75670737797446 42.85988200146887, -78.74020248266257 42.85463617279543, -78.7255066265711 42.86198168508107, -78.72731298714595 42.874576839997665, -78.74382364152645 42.87982563045764))"
872b9978bffffff,12,"POLYGON ((-78.30279464960574 43.233468592869215, -78.31767947784257 43.22614640358472, -78.31597200125627 43.21349576629027, -78.29938829133442 43.20816652867757, -78.28450631173186 43.2154849064692, -78.28620519255769 43.228136332368024, -78.30279464960574 43.233468592869215))"
872b89576ffffff,8,"POLYGON ((-74.21652408124739 42.90428383194066, -74.2319133185948 42.89752826608127, -74.23133984203078 42.88488811286219, -74.21538574343533 42.87900338470171, -74.20000045321729 42.885755414062395, -74.20056531424639 42.898395707052565, -74.21652408124739 42.90428383194066))"
872b89af1ffffff,8,"POLYGON ((-73.40498351121501 42.48846230249752, -73.42034197949381 42.481846004655715, -73.41999497126386 42.46926541223091, -73.40429795952008 42.46330110454868, -73.3889435791706 42.46991394783109, -73.38928212254467 42.482494552337805, -73.40498351121501 42.48846230249752))"
872a1692dffffff,6,"POLYGON ((-73.93614866903465 42.15558631632259, -73.9513277143512 42.1489213262409, -73.95083942901992 42.13638786392304, -73.93518044089568 42.1305192943939, -73.92000528920389 42.137180804550226, -73.92048523184435 42.14971436315444, -73.93614866903465 42.15558631632259))"
872a10cc0ffffff,471,"POLYGON ((-74.0026642758216 41.124886841214234, -74.01750252972698 41.11828851136794, -74.01700740170003 41.10590814996648, -74.00168200081569 41.100126009415845, -73.98684745560526 41.10672090399614, -73.98733460241856 41.11910137341785, -74.0026642758216 41.124886841214234))"
872aa6c94ffffff,205,"POLYGON ((-78.87419199540238 42.909141239747065, -78.8888783259245 42.901772960589895, -78.88702677588212 42.88917697831558, -78.87049733332174 42.88394840044553, -78.85581364611575 42.891312856899745, -78.8576567572286 42.90390971294934, -78.87419199540238 42.909141239747065))"
872aa6c82ffffff,183,"POLYGON ((-78.83744940519131 42.87348492119133, -78.85213044579487 42.86612428563031, -78.85029035494333 42.853532572222875, -78.83377765088478 42.84830062579728, -78.81909926015842 42.855657442275984, -78.82093092269548 42.86825002328537, -78.83744940519131 42.87348492119133))"
872aa6313ffffff,13,"POLYGON ((-78.26512482516124 42.245970289248525, -78.27970018780547 42.23873481528504, -78.2780391315905 42.22622183505454, -78.26181094939972 42.22094355651269, -78.24723832646795 42.228175272527146, -78.24889114521416 42.240689024063755, -78.26512482516124 42.245970289248525))"
872aa5d41ffffff,1,"POLYGON ((-75.97046446070232 42.085249304851246, -75.9853386469468 42.07832050759322, -75.98430146019913 42.065804064150456, -75.96839836793698 42.060216002822024, -75.95352752951503 42.06714118175685, -75.95455643506908 42.07965803934945, -75.97046446070232 42.085249304851246))"
872a10cd6ffffff,14,"POLYGON ((-74.09472567877938 41.15956694587762, -74.10956296390222 41.15295396368789, -74.1090430698018 41.140568310877924, -74.09369388285214 41.134795517171305, -74.07886028915763 41.14140505564996, -74.07937219080573 41.15379083057022, -74.09472567877938 41.15956694587762))"
872b8a3a8ffffff,18,"POLYGON ((-76.11807958807582 43.27412796310896, -76.13332012431844 43.267089239098716, -76.13221487165234 43.25440618675897, -76.11587779666147 43.24876141413109, -76.10064074363989 43.25579645102073, -76.10173728186412 43.26847994662896, -76.11807958807582 43.27412796310896))"
872aa6422ffffff,1,"POLYGON ((-78.959770431682 42.636417128949134, -78.97435595750555 42.62906121104072, -78.97249213597784 42.6165048927188, -78.95605112161941 42.61130360798302, -78.94146818342529 42.61865571357465, -78.9433236710387 42.6312129152512, -78.959770431682 42.636417128949134))"
872a1619bffffff,14,"POLYGON ((-74.75191215536935 41.830940147834625, -74.76687621002829 41.82419038382685, -74.76617206326995 41.81170517952208, -74.75051208000122 41.80596951454135, -74.7355516558356 41.81271575476816, -74.73624758416409 41.82520118276245, -74.75191215536935 41.830940147834625))"
872b8e8a4ffffff,3,"POLYGON ((-75.22623212414808 44.86877094953509, -75.24215318643911 44.86174362524461, -75.24126422293725 44.8488451678143, -75.22446357197221 44.8429737285967, -75.20854651475153 44.84999734942798, -75.20942610299903 44.86289611184483, -75.22623212414808 44.86877094953509))"
872b8d6f6ffffff,78,"POLYGON ((-73.68109767656094 43.317302147293404, -73.69669875794477 43.31059219024442, -73.69626870806587 43.297894997646026, -73.68024635195154 43.29190770723395, -73.66464943445384 43.29861414963241, -73.66507070904447 43.31131139604951, -73.68109767656094 43.317302147293404))"
872b8b31bffffff,3,"POLYGON ((-75.21532481659197 42.341905793150694, -75.23038992827767 42.3350565321184, -75.22955202620162 42.32249864133627, -75.21365740500268 42.31678971359185, -75.19859588153987 42.323635393531525, -75.19942539069349 42.33619358130074, -75.21532481659197 42.341905793150694))"
872aa4ad5ffffff,5,"POLYGON ((-76.4910080516765 42.36358161560179, -76.50589502588454 42.356563304430246, -76.50471026018535 42.34401102912349, -76.48864688347953 42.33847656707742, -76.47376315570278 42.34549121329345, -76.47493955765181 42.358043985513795, -76.4910080516765 42.36358161560179))"
872b882ceffffff,1,"POLYGON ((-74.63225964367282 43.044086562524264, -74.64763835073781 43.03726467209058, -74.6469483901556 43.02460564431995, -74.63088838532863 43.01876830004147, -74.6155135369592 43.025586616601885, -74.61619483443545 43.03824585028126, -74.63225964367282 43.044086562524264))"
872b8d6e0ffffff,15,"POLYGON ((-73.58500193384961 43.28133109918429, -73.60060360314637 43.27463683796477, -73.60020055164377 43.2619447297267, -73.58420459243818 43.255946843146894, -73.56860710629395 43.26263759895208, -73.56900139607848 43.27532974570862, -73.58500193384961 43.28133109918429))"
872aa6434ffffff,4,"POLYGON ((-78.99641682531313 42.67194141847816, -79.01100751655888 42.664577870556165, -79.00913230809905 42.6520172574237, -78.99267475174454 42.646819301750895, -78.97808664156668 42.65417903376981, -78.97995350574652 42.666740536396624, -78.99641682531313 42.67194141847816))"
872aa6ba5ffffff,7,"POLYGON ((-77.90177508026875 42.57179016096166, -77.91651154655088 42.56457344068045, -77.91493741603986 42.552008489850216, -77.89863519335266 42.546659539653284, -77.88390160858197 42.5538725036989, -77.88546736422254 42.566438173192374, -77.90177508026875 42.57179016096166))"
872b8a392ffffff,2,"POLYGON ((-76.31103633142828 43.30368069394389, -76.32625765016367 43.29661402328549, -76.32509822044706 43.283928559269825, -76.30872619039917 43.27830929073112, -76.29350830462164 43.28537226047071, -76.29465901537887 43.29805819863892, -76.31103633142828 43.30368069394389))"
872aa6418ffffff,1,"POLYGON ((-79.04156933271892 42.55461958376637, -79.05611550895605 42.54726044941701, -79.05423284520913 42.53471719396535, -79.03781230320564 42.529532177062684, -79.02326868200824 42.536887499649964, -79.02514304684628 42.54943164993842, -79.04156933271892 42.55461958376637))"
872b89251ffffff,9,"POLYGON ((-73.67456253608543 42.180834612053445, -73.68978423318411 42.17420305353204, -73.68936653494832 42.16166619826573, -73.67373549230564 42.1557608452541, -73.65851776029572 42.162388942592834, -73.65892710571084 42.17492585311822, -73.67456253608543 42.180834612053445))"
872b8b321ffffff,2,"POLYGON ((-75.06522877482661 42.42288753231337, -75.08034141728443 42.416052179161866, -75.0795428897844 42.40348206229912, -75.06364014490393 42.39774702398896, -75.04853114340264 42.4045788024415, -75.04932124548621 42.41714919289224, -75.06522877482661 42.42288753231337))"
872b8bcb0ffffff,134,"POLYGON ((-75.75550356597766 43.0987541429164, -75.77073964505016 43.091776841962556, -75.76973867294825 43.07911525505146, -75.75351028065316 43.07343058329059, -75.73827775973051 43.08040422949721, -75.73927007249128 43.09306620118441, -75.75550356597766 43.0987541429164))"
872b8d6ccffffff,2,"POLYGON ((-73.61416657158428 43.204502248837066, -73.62973821630888 43.19780902676487, -73.62932777038235 43.18512744706572, -73.61335441193917 43.17913904503596, -73.59778692856415 43.185828762929994, -73.59818864215447 43.1985103859917, -73.61416657158428 43.204502248837066))"
872b8e89effffff,1,"POLYGON ((-75.38429502751666 44.78552818791012, -75.40016301818898 44.778484150236366, -75.39923041180866 44.76559702300646, -75.38243915097603 44.75975360165077, -75.36657510352029 44.7667939285553, -75.36749837322895 44.77968138649756, -75.38429502751666 44.78552818791012))"
872b8bca6ffffff,1,"POLYGON ((-75.69255290662684 43.10131600259891, -75.70779907259744 43.0943469412146, -75.70681542056266 43.081684589749614, -75.69059426420053 43.07599092386239, -75.67535167432297 43.08295633456576, -75.67632666426239 43.09561906080918, -75.69255290662684 43.10131600259891))"
872b8d6daffffff,9,"POLYGON ((-73.74038097866341 43.20162725067321, -73.75593477697042 43.19491677234529, -73.7554894052004 43.18223541652756, -73.73949896587915 43.176264474462755, -73.72394929459233 43.18297143884043, -73.72438593545844 43.19565285819304, -73.74038097866341 43.20162725067321))"
872b8a384ffffff,1,"POLYGON ((-76.18461024316446 43.3093888288984, -76.19985252132233 43.302338604751256, -76.19872797747493 43.289651274273744, -76.18236988052894 43.28401371286366, -76.16713107209304 43.29106024386803, -76.16824689034551 43.30374802839489, -76.18461024316446 43.3093888288984))"
872a10b93ffffff,40,"POLYGON ((-73.45227038358563 40.87860490898835, -73.46710083368485 40.87209704069103, -73.46675330092681 40.85975514718059, -73.45158321721924 40.85392109667418, -73.43675657049312 40.860425582846545, -73.43709620401309 40.87276750068193, -73.45227038358563 40.87860490898835))"
872aa4526ffffff,2,"POLYGON ((-77.32769957474201 42.890069568135274, -77.34262884140209 42.88290096908135, -77.34120097883103 42.87028350429048, -77.32485236979812 42.86483400556429, -77.3099261884689 42.871998863466125, -77.31134553014725 42.88461696024303, -77.32769957474201 42.890069568135274))"
872b8d682ffffff,2,"POLYGON ((-73.79386732385807 43.371893319658945, -73.80947184947871 43.36516412305231, -73.80900993616699 43.35245932910158, -73.79295229292913 43.346483658932804, -73.77735191066222 43.35320932953164, -73.7778050281211 43.365914195261404, -73.79386732385807 43.371893319658945))"
872b89209ffffff,1,"POLYGON ((-73.6918761223689 42.236914584228465, -73.70711399587852 42.230276750776255, -73.70669109142572 42.2177317502476, -73.69103868635725 42.21182452431264, -73.6758047831015 42.21845889260855, -73.67621931452842 42.23100395098632, -73.6918761223689 42.236914584228465))"
872aa4530ffffff,2,"POLYGON ((-77.39026997646361 42.886619985218154, -77.40518833794822 42.87944354285988, -77.4037434400422 42.866827356736934, -77.3873886965353 42.86138697018738, -77.37247340214265 42.86855966802853, -77.37390978346122 42.88117649593417, -77.39026997646361 42.886619985218154))"
872a10b85ffffff,16,"POLYGON ((-73.33223589400248 40.88122447716837, -73.34708217654281 40.874732154138236, -73.34676624190976 40.862390190820456, -73.33161192464081 40.85654054356767, -73.31676947476794 40.863029493522276, -73.31707750942445 40.875371462836846, -73.33223589400248 40.88122447716837))"
872b8bce8ffffff,7,"POLYGON ((-75.53544010183948 42.89820454451906, -75.55064188517755 42.891271428987054, -75.5497057693267 42.87863635396099, -75.53357645981144 42.87293404434279, -75.51837826441773 42.87986352970082, -75.5193057901729 42.89249895382819, -75.53544010183948 42.89820454451906))"
872aa4aa1ffffff,28,"POLYGON ((-76.48792224793817 42.496242174357384, -76.50285244889459 42.48921385368191, -76.5016651088174 42.47664261915092, -76.48555597921057 42.4710992070284, -76.47062904421223 42.47812385621521, -76.4718079723096 42.49069558801179, -76.48792224793817 42.496242174357384))"
872a10ba9ffffff,48,"POLYGON ((-73.27133040477412 40.84546445911163, -73.28617294439113 40.83898276775886, -73.28587328350162 40.82664649485504, -73.27073897073623 40.82079191550516, -73.25590027254054 40.8272702401818, -73.25619204562526 40.8396065099172, -73.27133040477412 40.84546445911163))"
872aa4a8dffffff,3,"POLYGON ((-76.51182851280876 42.419351451042246, -76.52673033126524 42.41232604615691, -76.52553847568457 42.39976599227084, -76.50945318425896 42.394230841749305, -76.49455461435461 42.4012525775768, -76.4957380867699 42.4138131319849, -76.51182851280876 42.419351451042246))"
872b990d8ffffff,3,"POLYGON ((-77.92964842162887 43.29472774714537, -77.94461380794036 43.28744885502578, -77.94300699237918 43.274783968564975, -77.92644343037982 43.26939724263128, -77.91148100945311 43.27667233963478, -77.9130791843353 43.289337956681365, -77.92964842162887 43.29472774714537))"
872b8c99affffff,1,"POLYGON ((-73.68820260462445 44.951333507545776, -73.70437510560734 44.944519621025826, -73.7039270721406 44.93160778540008, -73.68731596845349 44.92550978345497, -73.67114794041322 44.932320080185455, -73.67158654296037 44.94523196755065, -73.68820260462445 44.951333507545776))"
